,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
601,175 St (A),M,A,True,40.847389221191406,-73.93970489501953,297580,148790.0
602,"Church Av (2,5)",BK,"2,5",True,40.65084457397461,-73.94957733154297,295795,147897.5
603,Mosholu Pkwy (4),BX,4,True,40.8797492980957,-73.88465881347656,293400,146700.0
604,"Newkirk Plaza (B,Q)",BK,"Q,B",True,40.63508224487305,-73.9627914428711,292217,146108.5
605,"Cathedral Pkwy-110 St (B,C)",M,"C,B",True,40.80060195922852,-73.95816040039062,290826,145413.0
606,"149 St-Grand Concourse (2,4,5)",BX,"2,5,4",True,40.81837463378906,-73.92735290527344,289540,144770.0
607,"96 St (B,C)",M,"C,B",True,40.79164123535156,-73.9646987915039,287686,143843.0
608,"Central Park North-110 St (2,3)",M,"3,2",True,40.799076080322266,-73.95182037353516,279648,139824.0
609,Fulton St (G),BK,G,True,40.68711853027344,-73.97537231445312,278997,139498.5
610,21 St-Queensbridge (F),Q,F,True,40.75420379638672,-73.94283294677734,278113,139056.5
611,Rector St (1),M,1,True,40.70751190185547,-74.01378631591797,274826,137413.0
612,Union St (R),BK,R,True,40.67731475830078,-73.98310852050781,272487,136243.5
613,"7 Av (B,Q)",BK,"Q,B",True,40.67705154418945,-73.97236633300781,266694,133347.0
614,Bay Pkwy (D),BK,D,True,40.60187530517578,-73.99372863769531,265829,132914.5
615,Bay Ridge Av (R),BK,R,True,40.63496780395508,-74.02337646484375,265742,132871.0
616,"Eastern Pkwy-Brooklyn Museum (2,3)",BK,"3,2",True,40.6719856262207,-73.9643783569336,264225,132112.5
617,Halsey St (L),BK,L,True,40.69560241699219,-73.90408325195312,261821,130910.5
618,Clinton-Washington Avs (C),BK,C,True,40.68326187133789,-73.96583557128906,260320,130160.0
619,191 St (1),M,1,True,40.855224609375,-73.92941284179688,258998,129499.0
620,231 St (1),BX,1,True,40.87885665893555,-73.90483093261719,258082,129041.0
621,Bay Pkwy (N),BK,N,True,40.61181640625,-73.98184967041016,257300,128650.0
622,Inwood-207 St (A),M,A,True,40.868072509765625,-73.9198989868164,257225,128612.5
623,Parsons Blvd (F),Q,F,True,40.70756530761719,-73.80332946777344,256898,128449.0
624,Dyckman St (1),M,1,True,40.86053085327149,-73.925537109375,255750,127875.0
625,Kingston-Throop Avs (C),BK,C,True,40.6799201965332,-73.94085693359375,251777,125888.5
626,Avenue U (Q),BK,Q,True,40.59930038452149,-73.9559326171875,250215,125107.5
627,Lafayette Av (C),BK,C,True,40.68611145019531,-73.97394561767578,249337,124668.5
628,170 St (4),BX,4,True,40.8400764465332,-73.91779327392578,249141,124570.5
629,"East 180 St (2,5)",BX,"2,5",True,40.84189224243164,-73.87348937988281,248990,124495.0
630,Parkside Av (Q),BK,Q,True,40.65529251098633,-73.96149444580078,248493,124246.5
631,"116 St (B,C)",M,"C,B",True,40.805084228515625,-73.95487976074219,248459,124229.5
632,"Gates Av (J,Z)",BK,"J,Z",True,40.68962860107422,-73.92227172851562,248345,124172.5
633,"46 St (M,R)",Q,"M,R",True,40.75631332397461,-73.913330078125,246279,123139.5
634,"15 St-Prospect Park (F,G)",BK,"F,G",True,40.66036605834961,-73.9794921875,241140,120570.0
635,3 Av-138 St (6),BX,6,True,40.81047439575195,-73.92613983154297,238235,119117.5
636,181 St (A),M,A,True,40.8516960144043,-73.9379653930664,234324,117162.0
637,Grand St (L),BK,L,True,40.7119255065918,-73.94066619873047,233278,116639.0
638,"Flushing Av (J,M)",BK,"M,J",True,40.70026016235352,-73.94112396240234,232925,116462.5
639,69 St (7),Q,7,True,40.7463264465332,-73.89640045166016,231685,115842.5
640,Classon Av (G),BK,G,True,40.688873291015625,-73.96006774902344,229378,114689.0
641,Kosciuszko St (J),BK,J,True,40.69334030151367,-73.92881774902344,225437,112718.5
642,"Franklin Av (C,S)",BK,"C,S",True,40.68138122558594,-73.95684814453125,225104,112552.0
643,"Pelham Pkwy (2,5)",BX,"2,5",True,40.85719299316406,-73.86761474609375,224327,112163.5
644,"36 Av (N,W)",Q,"N,W",True,40.75680541992188,-73.92957305908203,223295,111647.5
645,169 St (F),Q,F,True,40.71046829223633,-73.7936019897461,222849,111424.5
646,Halsey St (J),BK,J,True,40.686370849609375,-73.91655731201172,222002,111001.0
647,207 St (1),M,1,True,40.86462020874024,-73.9188232421875,220962,110481.0
648,Fort Hamilton Pkwy (N),BK,N,True,40.631385803222656,-74.0053482055664,219304,109652.0
649,52 St (7),Q,7,True,40.74414825439453,-73.91255187988281,218513,109256.5
650,"Bowery (J,Z)",M,"J,Z",True,40.72027969360352,-73.99391174316406,217957,108978.5
651,183 St (4),BX,4,True,40.85840606689453,-73.90387725830078,214441,107220.5
652,"Winthrop St (2,5)",BK,"2,5",True,40.65665054321289,-73.95020294189453,207765,103882.5
653,Cortelyou Rd (Q),BK,Q,True,40.640926361083984,-73.9638900756836,207577,103788.5
654,"Fort Hamilton Pkwy (F,G)",BK,"F,G",True,40.65078353881836,-73.97577667236328,207352,103676.0
655,Kings Hwy (N),BK,N,True,40.60392379760742,-73.98035430908203,206197,103098.5
656,Bedford Park Blvd-Lehman College (4),BX,4,True,40.8734130859375,-73.89006042480469,205500,102750.0
657,Clinton-Washington Avs (G),BK,G,True,40.688087463378906,-73.96684265136719,203879,101939.5
658,Rockaway Blvd (A),Q,A,True,40.68042755126953,-73.84385681152344,201120,100560.0
659,Myrtle-Willoughby Avs (G),BK,G,True,40.6945686340332,-73.94904327392578,200337,100168.5
660,18 Av (D),BK,D,True,40.60795211791992,-74.00173950195312,199523,99761.5
661,"Newkirk Av (2,5)",BK,"2,5",True,40.63996887207031,-73.94841003417969,198621,99310.5
662,9 Av (D),BK,D,True,40.64629364013672,-73.99432373046875,198051,99025.5
663,"67 Av (M,R)",Q,"M,R",True,40.726524353027344,-73.85272216796875,197912,98956.0
664,18 Av (N),BK,N,True,40.62067031860352,-73.99041748046875,193189,96594.5
665,Broadway (G),BK,G,True,40.706092834472656,-73.95030975341797,192799,96399.5
666,Dyckman St (A),M,A,True,40.8654899597168,-73.9272689819336,192231,96115.5
667,Woodlawn (4),BX,4,True,40.88603591918945,-73.87875366210938,190734,95367.0
668,"Bergen St (2,3)",BK,"3,2",True,40.68082809448242,-73.97509765625,187543,93771.5
669,New Utrecht Av (N)/62 St (D),BK,"N,,D",True,40.62647247314453,-73.99635314941406,186392,93196.0
670,Elder Av (6),BX,6,True,40.82858276367188,-73.87915802001953,185975,92987.5
671,"Sterling St (2,5)",BK,"2,5",True,40.662742614746094,-73.95085144042969,184871,92435.5
