,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
818,55 St (D),BK,D,True,40.63143539428711,-73.99547576904297,49024,24512.0
819,"104 St (J,Z)",Q,"J,Z",True,40.6951789855957,-73.84432983398438,47899,23949.5
820,Beach 60 St (A),Q,A,True,40.59237289428711,-73.78852081298828,47398,23699.0
821,Morris Park (5),BX,5,True,40.85436248779297,-73.8604965209961,46791,23395.5
822,"121 St (J,Z)",Q,"J,Z",True,40.70049285888672,-73.82829284667969,45918,22959.0
823,"Beach 90 St (A,S)",Q,"S,A",True,40.588035583496094,-73.81364440917969,45633,22816.5
824,Atlantic Av (L),BK,L,True,40.67534637451172,-73.9030990600586,45575,22787.5
825,Avenue N (F),BK,F,True,40.61513900756836,-73.97419738769531,45479,22739.5
826,Avenue P (F),BK,F,True,40.60894393920898,-73.9730224609375,43287,21643.5
827,Pelham Pkwy (5),BX,5,True,40.858985900878906,-73.85536193847656,43023,21511.5
828,Zerega Av (6),BX,6,True,40.83648681640625,-73.84703826904297,41713,20856.5
829,"75 St-Elderts Ln (J,Z)",Q,"J,Z",True,40.69132232666016,-73.86714172363281,37919,18959.5
830,Beach 25 St (A),Q,A,True,40.60006713867188,-73.7613525390625,37699,18849.5
831,111 St (J),Q,J,True,40.69741821289063,-73.83634185791016,37313,18656.5
832,104 St (A),Q,A,True,40.68170928955078,-73.83768463134766,35704,17852.0
833,Middletown Rd (6),BX,6,True,40.84386444091797,-73.83631896972656,34321,17160.5
834,"Rockaway Park-Beach 116 St (A,S)",Q,"S,A",True,40.580902099609375,-73.8355941772461,30268,15134.0
835,Avenue X (F),BK,F,True,40.58961868286133,-73.97425079345703,29087,14543.5
836,Avenue U (F),BK,F,True,40.59606170654297,-73.97335815429688,26825,13412.5
837,Avenue I (F),BK,F,True,40.62532043457031,-73.97612762451172,26253,13126.5
838,East 143 St-St Mary's St (6),BX,6,True,40.808719635009766,-73.90765380859375,23206,11603.0
839,Cypress Hills (J),BK,J,True,40.68994140625,-73.87255096435547,22872,11436.0
840,Beach 36 St (A),Q,A,True,40.59539794921875,-73.76817321777344,22339,11169.5
841,Bay Pkwy (F),BK,F,True,40.62076950073242,-73.97526550292969,21888,10944.0
842,"Beach 98 St (A,S)",Q,"S,A",True,40.58530807495117,-73.820556640625,19928,9964.0
843,Beach 44 St (A),Q,A,True,40.59294128417969,-73.77601623535156,18497,9248.5
844,Aqueduct-North Conduit Av (A),Q,A,True,40.668235778808594,-73.83406066894531,17687,8843.5
845,"Beach 105 St (A,S)",Q,"S,A",True,40.58320999145508,-73.82756042480469,16649,8324.5
846,Neptune Av (F),BK,F,True,40.58101272583008,-73.97457122802734,16386,8193.0
847,"Broad Channel (A,S)",Q,"S,A",True,40.60838317871094,-73.81592559814453,6674,3337.0
